2021-09-10 09:09:10,832 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17755,"state":"CANDIDATE","term":49,"voteFor":"192.168.66.1:8848"}, term: 49

2021-09-10 09:09:10,832 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15052,"state":"CANDIDATE","term":50,"voteFor":"192.168.66.1:8848"}, term: 50

2021-09-10 09:09:10,832 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":18865,"state":"CANDIDATE","term":51,"voteFor":"192.168.66.1:8848"}, term: 51

2021-09-10 09:09:10,832 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":19979,"state":"CANDIDATE","term":52,"voteFor":"192.168.66.1:8848"}, term: 52

2021-09-10 09:09:10,833 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":15641,"state":"CANDIDATE","term":53,"voteFor":"192.168.66.1:8848"}, term: 53

2021-09-10 09:09:10,833 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17778,"state":"CANDIDATE","term":54,"voteFor":"192.168.66.1:8848"}, term: 54

2021-09-10 09:09:10,833 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17194,"state":"CANDIDATE","term":55,"voteFor":"192.168.66.1:8848"}, term: 55

2021-09-10 09:09:10,833 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":18746,"state":"CANDIDATE","term":56,"voteFor":"192.168.66.1:8848"}, term: 56

2021-09-10 09:09:10,833 INFO leader timeout, start voting,leader: {"heartbeatDueMs":5000,"ip":"192.168.66.1:8848","leaderDueMs":17277,"state":"CANDIDATE","term":57,"voteFor":"192.168.66.1:8848"}, term: 57

